DATE,EXPMANVI
1995-08-01,7.0
1995-09-01,15.1
1995-10-01,18.5
1995-11-01,20.5
1995-12-01,19.0
1996-01-01,27.8
1996-02-01,12.5
1996-03-01,11.1
1996-04-01,9.2
1996-05-01,16.5
1996-06-01,37.0
1996-07-01,5.4
1996-08-01,5.5
1996-09-01,9.2
1996-10-01,4.1
1996-11-01,27.9
1996-12-01,16.5
1997-01-01,9.3
1997-02-01,20.3
1997-03-01,17.1
1997-04-01,15.5
1997-05-01,25.4
1997-06-01,24.2
1997-07-01,28.8
1997-08-01,18.4
1997-09-01,11.6
1997-10-01,9.3
1997-11-01,26.5
1997-12-01,23.7
1998-01-01,15.4
1998-02-01,10.4
1998-03-01,9.6
1998-04-01,8.9
1998-05-01,10.6
1998-06-01,3.8
1998-07-01,7.1
1998-08-01,3.1
1998-09-01,4.7
1998-10-01,3.7
1998-11-01,9.4
1998-12-01,1.4
1999-01-01,3.2
1999-02-01,30.0
1999-03-01,7.1
1999-04-01,2.9
1999-05-01,8.9
1999-06-01,7.1
1999-07-01,3.6
1999-08-01,28.1
1999-09-01,10.7
1999-10-01,17.1
1999-11-01,12.8
1999-12-01,18.2
2000-01-01,8.9
2000-02-01,14.4
2000-03-01,38.3
2000-04-01,32.2
2000-05-01,15.9
2000-06-01,2.2
2000-07-01,9.6
2000-08-01,9.7
2000-09-01,5.8
2000-10-01,15.8
2000-11-01,4.8
2000-12-01,3.5
2001-01-01,11.3
2001-02-01,10.8
2001-03-01,4.8
2001-04-01,32.8
2001-05-01,8.0
2001-06-01,12.8
2001-07-01,6.3
2001-08-01,30.7
2001-09-01,16.5
2001-10-01,8.3
2001-11-01,6.1
2001-12-01,36.0
2002-01-01,21.0
2002-02-01,17.7
2002-03-01,23.1
2002-04-01,18.9
2002-05-01,13.6
2002-06-01,9.5
2002-07-01,40.2
2002-08-01,5.5
2002-09-01,10.4
2002-10-01,30.9
2002-11-01,25.6
2002-12-01,37.2
2003-01-01,19.8
2003-02-01,22.9
2003-03-01,35.7
2003-04-01,19.5
2003-05-01,15.9
2003-06-01,16.7
2003-07-01,26.5
2003-08-01,11.3
2003-09-01,26.4
2003-10-01,19.3
2003-11-01,18.5
2003-12-01,14.7
2004-01-01,30.5
2004-02-01,17.7
2004-03-01,44.0
2004-04-01,37.6
2004-05-01,12.1
2004-06-01,24.5
2004-07-01,0.5
2004-08-01,16.5
2004-09-01,47.1
2004-10-01,67.4
2004-11-01,19.6
2004-12-01,32.4
2005-01-01,12.8
2005-02-01,37.6
2005-03-01,32.7
2005-04-01,59.0
2005-05-01,4.7
2005-06-01,82.0
2005-07-01,93.1
2005-08-01,37.7
2005-09-01,39.6
2005-10-01,8.1
2005-11-01,13.5
2005-12-01,44.1
2006-01-01,64.4
2006-02-01,26.6
2006-03-01,45.1
2006-04-01,74.6
2006-05-01,53.5
2006-06-01,12.8
2006-07-01,44.2
2006-08-01,38.3
2006-09-01,57.1
2006-10-01,65.2
2006-11-01,36.6
2006-12-01,63.2
2007-01-01,23.8
2007-02-01,71.4
2007-03-01,27.9
2007-04-01,85.5
2007-05-01,4.1
2007-06-01,56.1
2007-07-01,15.3
2007-08-01,116.0
2007-09-01,65.5
2007-10-01,46.9
2007-11-01,34.2
2007-12-01,217.1
2008-01-01,73.2
2008-02-01,207.8
2008-03-01,211.7
2008-04-01,61.2
2008-05-01,109.9
2008-06-01,766.9
2008-07-01,259.7
2008-08-01,220.6
2008-09-01,343.7
2008-10-01,266.6
2008-11-01,66.9
2008-12-01,116.3
2009-01-01,34.2
2009-02-01,44.8
2009-03-01,65.9
2009-04-01,93.9
2009-05-01,148.9
2009-06-01,123.8
2009-07-01,178.2
2009-08-01,139.6
2009-09-01,132.0
2009-10-01,106.7
2009-11-01,62.6
2009-12-01,68.0
2010-01-01,129.2
2010-02-01,115.5
2010-03-01,151.6
2010-04-01,139.6
2010-05-01,153.6
2010-06-01,126.4
2010-07-01,194.0
2010-08-01,184.4
2010-09-01,212.4
2010-10-01,198.2
2010-11-01,121.9
2010-12-01,116.7
2011-01-01,209.1
2011-02-01,128.2
2011-03-01,98.6
2011-04-01,179.4
2011-05-01,272.2
2011-06-01,271.5
2011-07-01,334.4
2011-08-01,190.2
2011-09-01,75.9
2011-10-01,139.7
2011-11-01,190.9
2011-12-01,120.4
2012-01-01,97.8
2012-02-01,149.7
2012-03-01,66.7
2012-04-01,53.9
2012-05-01,60.5
2012-06-01,57.3
2012-07-01,34.3
2012-08-01,39.1
2012-09-01,78.1
2012-10-01,63.9
2012-11-01,64.5
2012-12-01,72.2
2013-01-01,107.076005
2013-02-01,95.576665
2013-03-01,141.337971
2013-04-01,158.905298
2013-05-01,68.339586
2013-06-01,61.141008
2013-07-01,55.624767
2013-08-01,95.989746
2013-09-01,63.661777
2013-10-01,56.926538
2013-11-01,43.363482
2013-12-01,46.255648
2014-01-01,47.011111
2014-02-01,71.028288
2014-03-01,115.24813
2014-04-01,234.583593
2014-05-01,89.371068
2014-06-01,106.806324
2014-07-01,116.27763
2014-08-01,117.928875
2014-09-01,124.407814
2014-10-01,143.646641
2014-11-01,117.035022
2014-12-01,117.920849
2015-01-01,56.259579
2015-02-01,41.038256
2015-03-01,12.560001
2015-04-01,4.162528
2015-05-01,5.7255
2015-06-01,4.946824
2015-07-01,3.380344
2015-08-01,1.105126
2015-09-01,1.645279
2015-10-01,6.247542
2015-11-01,6.062708
2015-12-01,3.656565
2016-01-01,3.629233
2016-02-01,4.544209
2016-03-01,3.358333
2016-04-01,21.80863
2016-05-01,23.036385
2016-06-01,6.552852
2016-07-01,9.580784
2016-08-01,33.280221
2016-09-01,51.842051
2016-10-01,29.089501
2016-11-01,60.14364
2016-12-01,47.674235
2017-01-01,103.972376
2017-02-01,70.158577
2017-03-01,80.674994
2017-04-01,76.824254
2017-05-01,48.831194
2017-06-01,105.85857
2017-07-01,106.991664
2017-08-01,62.553593
2017-09-01,81.757236
2017-10-01,101.821253
2017-11-01,79.99266
2017-12-01,62.64057
2018-01-01,34.083105
2018-02-01,37.426434
2018-03-01,104.928427
2018-04-01,47.702301
2018-05-01,30.366956
2018-06-01,30.807481
2018-07-01,70.101634
2018-08-01,25.336145
2018-09-01,35.719571
2018-10-01,37.441198
2018-11-01,116.513765
2018-12-01,48.86416
2019-01-01,66.436698
2019-02-01,44.726893
2019-03-01,84.095516
2019-04-01,85.423584
2019-05-01,33.971951
2019-06-01,39.175778
2019-07-01,28.534839
2019-08-01,19.879869
2019-09-01,29.605567
2019-10-01,101.223254
2019-11-01,52.938378
2019-12-01,95.233109
2020-01-01,23.68202
2020-02-01,25.330207
2020-03-01,25.933382
2020-04-01,28.900628
2020-05-01,10.968948
2020-06-01,33.1937
2020-07-01,34.914082
2020-08-01,75.726904
2020-09-01,33.102606
2020-10-01,57.044529
2020-11-01,110.573207
2020-12-01,115.028929
2021-01-01,133.672287
2021-02-01,140.338692
2021-03-01,48.486132
2021-04-01,50.520919
2021-05-01,112.044483
2021-06-01,77.42821
2021-07-01,47.427867
2021-08-01,54.337626
2021-09-01,96.920877
2021-10-01,80.953182
2021-11-01,118.625042
2021-12-01,78.85845
2022-01-01,92.179439
2022-02-01,59.689429
